Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-35.592746617	
0.0195	0.0000	-36.238924801	
0.0391	0.0000	-35.901903736	
0.0586	0.0000	-35.437088099	
0.0781	0.0000	-34.558387887	
0.0977	0.0000	-34.954489252	
0.1172	0.0000	-32.360606106	
0.1367	0.0000	-21.959775948	
0.1562	0.0000	-12.740205798	
0.1758	0.0000	-4.308001237	
0.1953	0.0000	3.708934789	
0.2148	0.0000	11.225670151	
0.2344	0.0000	16.641500912	
0.2539	0.0000	22.188377878	
0.2734	0.0000	28.124214707	
0.2930	0.0000	33.358894546	
0.3125	0.0000	37.378047938	
0.3320	0.0000	39.644423062	
0.3516	0.0000	41.721518181	
0.3711	0.0000	44.091690285	
0.3906	0.0000	46.339926132	
0.4102	0.0000	47.928557370	
0.4297	0.0000	48.121418204	
0.4492	0.0000	47.362356607	
0.4688	0.0000	46.270970003	
0.4883	0.0000	44.607752741	
0.5078	0.0000	42.897104626	
0.5273	0.0000	41.062672736	
0.5469	0.0000	38.370239565	
0.5664	0.0000	34.750083104	
0.5859	0.0000	30.073306989	
0.6055	0.0000	25.296119893	
0.6250	0.0000	20.180097804	
0.6445	0.0000	14.444518602	
0.6641	0.0000	7.266557769	
0.6836	0.0000	0.028965739	
0.7031	0.0000	-7.559520543	
0.7227	0.0000	-17.035244170	
0.7422	0.0000	-27.105867249	
0.7617	0.0000	-29.588252621	
0.7812	0.0000	-28.806953613	
0.8008	0.0000	-29.151190079	
0.8203	0.0000	-29.321356661	
0.8398	0.0000	-28.535475806	
0.8594	0.0000	-28.487205172	
0.8789	0.0000	-28.765774093	
0.8984	0.0000	-28.539872901	
0.9180	0.0000	-27.477777871	
0.9375	0.0000	-26.396441771	
0.9570	0.0000	-26.201711584	
0.9766	0.0000	-27.258405140	
0.9961	0.0000	-27.241011588	
1.0156	0.0000	-27.168123602	
1.0352	0.0000	-27.203750488	
1.0547	0.0000	-26.989001592	
1.0742	0.0000	-26.359049665	
1.0938	0.0000	-26.659523444	
1.1133	0.0000	-25.544569215	
1.1328	0.0000	-24.393321314	
1.1523	0.0000	-25.323201163	
1.1719	0.0000	-25.901031219	
1.1914	0.0000	-25.766483125	
1.2109	0.0000	-25.523101044	
1.2305	0.0000	-25.534313805	
1.2500	0.0000	-24.283487987	
1.2695	0.0000	-23.481563948	
1.2891	0.0000	-23.260513333	
1.3086	0.0000	-24.068765964	
1.3281	0.0000	-24.645893963	
1.3477	0.0000	-23.863842511	
1.3672	0.0000	-22.298711715	
1.3867	0.0000	-12.037476737	
1.4062	0.0000	-3.264401553	
1.4258	0.0000	4.846065965	
1.4453	0.0000	12.268288970	
1.4648	0.0000	19.005653462	
1.4844	0.0000	25.454106285	
1.5039	0.0000	30.683700408	
1.5234	0.0000	35.000136409	
1.5430	0.0000	38.455010457	
1.5625	0.0000	41.682753873	
1.5820	0.0000	45.276937575	
1.6016	0.0000	48.404639514	
1.6211	0.0000	50.372180113	
1.6406	0.0000	51.260527733	
1.6602	0.0000	51.298479133	
1.6797	0.0000	51.809986615	
1.6992	0.0000	51.496398810	
1.7188	0.0000	50.399026244	
1.7383	0.0000	48.087880694	
1.7578	0.0000	45.301029223	
1.7773	0.0000	43.222052994	
1.7969	0.0000	39.652484964	
1.8164	0.0000	36.198941129	
1.8359	0.0000	32.888428860	
1.8555	0.0000	27.876190314	
1.8750	0.0000	22.575187901	
1.8945	0.0000	15.691755195	
1.9141	0.0000	8.481372082	
1.9336	0.0000	0.253577027	
1.9531	0.0000	-7.968386585	
1.9727	0.0000	-15.837867078	
1.9922	0.0000	-18.985240056	
2.0117	0.0000	-18.480947976	
2.0312	0.0000	-18.218633863	
2.0508	0.0000	-17.818592245	
2.0703	0.0000	-13.083454682	
2.0898	0.0000	-13.135541283	
2.1094	0.0000	-17.374052290	
2.1289	0.0000	-17.800197673	
2.1484	0.0000	-17.064958995	
2.1680	0.0000	-16.324224787	
2.1875	0.0000	-15.172333613	
2.2070	0.0000	-14.773662518	
2.2266	0.0000	-14.658330302	
2.2461	0.0000	-14.401014567	
2.2656	0.0000	-14.116261496	
2.2852	0.0000	-14.011836360	
2.3047	0.0000	-13.842637207	
2.3242	0.0000	-13.528565688	
2.3438	0.0000	-13.170583680	
2.3633	0.0000	-13.058543407	
2.3828	0.0000	-12.966053245	
2.4023	0.0000	-12.798143996	
2.4219	0.0000	-12.458193773	
2.4414	0.0000	-12.379257682	
2.4609	0.0000	-12.447078427	
2.4805	0.0000	-13.045614133	
2.5000	0.0000	-5.932806899	
2.5195	0.0000	-2.248588555	
2.5391	0.0000	-9.019074024	
2.5586	0.0000	-12.879979012	
2.5781	0.0000	-11.636652442	
2.5977	0.0000	-11.091567141	
2.6172	0.0000	-10.906150130	
2.6367	0.0000	-10.633825823	
2.6562	0.0000	-10.441059045	
2.6758	0.0000	-10.264735187	
2.6953	0.0000	-9.990328222	
2.7148	0.0000	-9.775095613	
2.7344	0.0000	-7.057851941	
2.7539	0.0000	-1.975232996	
2.7734	0.0000	1.053781194	
2.7930	0.0000	1.804297175	
2.8125	0.0000	1.581902910	
2.8320	0.0000	0.222471525	
2.8516	0.0000	-2.788023806	
2.8711	0.0000	-7.053582492	
2.8906	0.0000	-8.535836943	
2.9102	0.0000	-8.369012692	
2.9297	0.0000	-8.240485831	
2.9492	0.0000	-8.093860001	
2.9688	0.0000	-7.890706807	
2.9883	0.0000	-7.897015245	
3.0078	0.0000	-8.702268177	
3.0273	0.0000	-9.160714912	
3.0469	0.0000	-9.026128188	
3.0664	0.0000	-8.928451536	
3.0859	0.0000	-8.156746190	
3.1055	0.0000	-7.401540870	
3.1250	0.0000	-7.429038671	
3.1445	0.0000	-7.351083445	
3.1641	0.0000	-7.208528875	
3.1836	0.0000	-6.991173299	
3.2031	0.0000	-6.239192738	
3.2227	0.0000	-5.906417608	
3.2422	0.0000	-5.380717821	
3.2617	0.0000	-5.070354777	
3.2812	0.0000	-5.079458007	
3.3008	0.0000	-4.472215448	
3.3203	0.0000	-3.944543854	
3.3398	0.0000	-4.289438709	
3.3594	0.0000	-5.298096770	
3.3789	0.0000	-5.605382855	
3.3984	0.0000	-5.456953175	
3.4180	0.0000	-5.274653433	
3.4375	0.0000	-5.348520603	
3.4570	0.0000	-1.753013406	
3.4766	0.0000	5.953757765	
3.4961	0.0000	4.064887886	
3.5156	0.0000	-2.849435339	
3.5352	0.0000	-3.159287797	
3.5547	0.0000	-2.879465921	
3.5742	0.0000	-3.229990671	
3.5938	0.0000	-3.911241484	
3.6133	0.0000	-3.371826387	
3.6328	0.0000	-2.342932955	
3.6523	0.0000	-2.084794235	
3.6719	0.0000	-3.232358854	
3.6914	0.0000	-3.362269675	
3.7109	0.0000	-3.235378708	
3.7305	0.0000	-2.587678841	
3.7500	0.0000	-1.694762810	
3.7695	0.0000	-2.623903651	
3.7891	0.0000	-2.876288189	
3.8086	0.0000	-2.613315687	
3.8281	0.0000	-2.605515798	
3.8477	0.0000	-2.342126764	
3.8672	0.0000	-0.788228884	
3.8867	0.0000	-1.182324851	
3.9063	0.0000	-1.396751270	
3.9258	0.0000	-1.519137650	
3.9453	0.0000	0.066299061	
3.9648	0.0000	0.808336609	
3.9844	0.0000	0.828189041	
4.0039	0.0000	-0.091358137	
4.0234	0.0000	-0.585707205	
4.0430	0.0000	-0.209451554	
4.0625	0.0000	0.166199454	
4.0820	0.0000	1.551509542	
4.1016	0.0000	1.628520854	
4.1211	0.0000	2.413074855	
4.1406	0.0000	2.978654180	
4.1602	0.0000	3.226262041	
4.1797	0.0000	3.296440892	
4.1992	0.0000	2.901347265	
4.2187	0.0000	1.727809887	
4.2383	0.0000	1.723234758	
4.2578	0.0000	1.882867122	
4.2773	0.0000	1.993200959	
4.2969	0.0000	2.031179232	
4.3164	0.0000	2.429511056	
4.3359	0.0000	4.072627311	
4.3555	0.0000	6.497741272	
4.3750	0.0000	4.198728883	
4.3945	0.0000	2.841722787	
4.4141	0.0000	3.111601650	
4.4336	0.0000	3.190937477	
4.4531	0.0000	3.404772691	
4.4727	0.0000	3.593468208	
4.4922	0.0000	3.741343633	
4.5117	0.0000	4.823015646	
4.5312	0.0000	5.373824896	
4.5508	0.0000	5.973892363	
4.5703	0.0000	6.319163440	
4.5898	0.0000	5.766688064	
4.6094	0.0000	6.089002877	
4.6289	0.0000	6.575081778	
4.6484	0.0000	6.867406318	
4.6680	0.0000	6.989564278	
4.6875	0.0000	6.736575097	
4.7070	0.0000	6.527039565	
4.7266	0.0000	6.125563599	
4.7461	0.0000	6.155923376	
4.7656	0.0000	6.190582833	
4.7852	0.0000	6.504694662	
4.8047	0.0000	7.998921036	
4.8242	0.0000	8.842887890	
4.8437	0.0000	8.312300575	
4.8633	0.0000	7.526937026	
4.8828	0.0000	7.410603790	
4.9023	0.0000	7.496557094	
4.9219	0.0000	7.407372311	
4.9414	0.0000	7.560568591	
4.9609	0.0000	7.615127507	
4.9805	0.0000	7.783466724	
0.0000	0.0195	-36.500143839	
0.0195	0.0195	-36.513902817	
0.0391	0.0195	-36.400552485	
0.0586	0.0195	-36.321142757	
0.0781	0.0195	-36.142581721	
0.0977	0.0195	-35.408223134	
0.1172	0.0195	-28.994187911	
0.1367	0.0195	-18.124272668	
0.1562	0.0195	-8.542434266	
0.1758	0.0195	0.246650511	
0.1953	0.0195	8.284836365	
0.2148	0.0195	15.001071957	
0.2344	0.0195	20.463305678	
0.2539	0.0195	26.271005305	
0.2734	0.0195	32.111812474	
0.2930	0.0195	36.905539904	
0.3125	0.0195	40.672429686	
0.3320	0.0195	43.361624660	
0.3516	0.0195	46.057148226	
0.3711	0.0195	48.416530818	
0.3906	0.0195	50.742349028	
0.4102	0.0195	52.231899500	
0.4297	0.0195	52.222574568	
0.4492	0.0195	50.900933345	
0.4688	0.0195	49.615006344	
0.4883	0.0195	48.363879885	
0.5078	0.0195	47.171753106	
0.5273	0.0195	44.975879308	
0.5469	0.0195	42.608501997	
0.5664	0.0195	39.424601887	
0.5859	0.0195	34.928277996	
0.6055	0.0195	30.199596672	
0.6250	0.0195	24.466980219	
0.6445	0.0195	18.163742393	
0.6641	0.0195	12.146581134	
0.6836	0.0195	5.708669247	
0.7031	0.0195	-2.197768345	
0.7227	0.0195	-11.702158749	
0.7422	0.0195	-21.598905092	
0.7617	0.0195	-27.021180335	
0.7812	0.0195	-27.776901282	
0.8008	0.0195	-28.652961221	
0.8203	0.0195	-28.671302046	
0.8398	0.0195	-28.584112584	
0.8594	0.0195	-28.209785071	
0.8789	0.0195	-28.080524241	
0.8984	0.0195	-27.664259725	
0.9180	0.0195	-27.321776722	
0.9375	0.0195	-26.930129558	
0.9570	0.0195	-25.664221267	
0.9766	0.0195	-26.799162292	
0.9961	0.0195	-26.941172683	
1.0156	0.0195	-26.607865132	
1.0352	0.0195	-26.496127180	
1.0547	0.0195	-25.790858620	
1.0742	0.0195	-25.048747170	
1.0938	0.0195	-25.465612969	
1.1133	0.0195	-25.288709662	
1.1328	0.0195	-24.094187826	
1.1523	0.0195	-23.757321281	
1.1719	0.0195	-24.785858647	
1.1914	0.0195	-24.542412742	
1.2109	0.0195	-24.372615665	
1.2305	0.0195	-24.466751799	
1.2500	0.0195	-23.883016400	
1.2695	0.0195	-22.408830568	
1.2891	0.0195	-22.230890970	
1.3086	0.0195	-23.376500579	
1.3281	0.0195	-23.326919886	
1.3477	0.0195	-22.945776707	
1.3672	0.0195	-23.106181670	
1.3867	0.0195	-22.007196724	
1.4062	0.0195	-12.020664314	
1.4258	0.0195	-3.398780011	
1.4453	0.0195	5.516581013	
1.4648	0.0195	12.535339450	
1.4844	0.0195	18.909898230	
1.5039	0.0195	24.247185917	
1.5234	0.0195	28.571159796	
1.5430	0.0195	32.250235319	
1.5625	0.0195	35.454652967	
1.5820	0.0195	38.959900461	
1.6016	0.0195	42.211950509	
1.6211	0.0195	44.572864863	
1.6406	0.0195	45.668127898	
1.6602	0.0195	46.273818541	
1.6797	0.0195	46.447156137	
1.6992	0.0195	46.419651617	
1.7188	0.0195	45.674060114	
1.7383	0.0195	43.419401619	
1.7578	0.0195	41.004324725	
1.7773	0.0195	38.072043273	
1.7969	0.0195	35.266017913	
1.8164	0.0195	32.170556861	
1.8359	0.0195	28.456788290	
1.8555	0.0195	23.925623548	
1.8750	0.0195	17.781514217	
1.8945	0.0195	11.524430776	
1.9141	0.0195	4.032586535	
1.9336	0.0195	-3.680771881	
1.9531	0.0195	-10.972331621	
1.9727	0.0195	-16.390372687	
1.9922	0.0195	-19.938845408	
2.0117	0.0195	-19.983078373	
2.0312	0.0195	-19.599073220	
2.0508	0.0195	-19.340460863	
2.0703	0.0195	-19.697079066	
2.0898	0.0195	-19.500378752	
2.1094	0.0195	-19.271917907	
2.1289	0.0195	-19.154321640	
2.1484	0.0195	-18.974138146	
2.1680	0.0195	-18.633375016	
2.1875	0.0195	-17.235306969	
2.2070	0.0195	-16.293569407	
2.2266	0.0195	-16.099815046	
2.2461	0.0195	-15.742736643	
2.2656	0.0195	-15.395349317	
2.2852	0.0195	-15.141641283	
2.3047	0.0195	-15.031690386	
2.3242	0.0195	-14.963644580	
2.3438	0.0195	-14.519581621	
2.3633	0.0195	-14.293082505	
2.3828	0.0195	-14.202775774	
2.4023	0.0195	-13.925836029	
2.4219	0.0195	-13.847124999	
2.4414	0.0195	-13.601451994	
2.4609	0.0195	-13.506603725	
2.4805	0.0195	-13.486700907	
2.5000	0.0195	-12.997370372	
2.5195	0.0195	-12.407131706	
2.5391	0.0195	-11.658597609	
2.5586	0.0195	-13.314307225	
2.5781	0.0195	-13.096971803	
2.5977	0.0195	-12.347765881	
2.6172	0.0195	-12.329089143	
2.6367	0.0195	-11.892241585	
2.6562	0.0195	-11.548683662	
2.6758	0.0195	-11.511303313	
2.6953	0.0195	-11.317841196	
2.7148	0.0195	-9.417839175	
2.7344	0.0195	-3.703214199	
2.7539	0.0195	1.055242413	
2.7734	0.0195	4.218964256	
2.7930	0.0195	5.090160181	
2.8125	0.0195	5.021607147	
2.8320	0.0195	3.535919670	
2.8516	0.0195	0.400270039	
2.8711	0.0195	-4.383541252	
2.8906	0.0195	-8.853758020	
2.9102	0.0195	-9.391634637	
2.9297	0.0195	-9.338274928	
2.9492	0.0195	-9.122713124	
2.9688	0.0195	-8.709016660	
2.9883	0.0195	-8.719953973	
3.0078	0.0195	-9.888388839	
3.0273	0.0195	-9.995558380	
3.0469	0.0195	-9.737470047	
3.0664	0.0195	-8.718539781	
3.0859	0.0195	-7.158749994	
3.1055	0.0195	-6.920453629	
3.1250	0.0195	-6.865108677	
3.1445	0.0195	-6.617389964	
3.1641	0.0195	-6.390635554	
3.1836	0.0195	-6.120790282	
3.2031	0.0195	-5.765058888	
3.2227	0.0195	-5.644130368	
3.2422	0.0195	-5.393670610	
3.2617	0.0195	-5.188683333	
3.2812	0.0195	-5.029433910	
3.3008	0.0195	-4.721872376	
3.3203	0.0195	-4.450737199	
3.3398	0.0195	-4.246623295	
3.3594	0.0195	-4.414270532	
3.3789	0.0195	-4.552475034	
3.3984	0.0195	-4.852686801	
3.4180	0.0195	-5.278879213	
3.4375	0.0195	-5.102686360	
3.4570	0.0195	-5.567653157	
3.4766	0.0195	-4.194657623	
3.4961	0.0195	-4.911535322	
3.5156	0.0195	-5.288751683	
3.5352	0.0195	-4.675711273	
3.5547	0.0195	-4.349096779	
3.5742	0.0195	-4.312549493	
3.5938	0.0195	-4.230035933	
3.6133	0.0195	-4.010023288	
3.6328	0.0195	-2.643033871	
3.6523	0.0195	-2.023463321	
3.6719	0.0195	-3.090697812	
3.6914	0.0195	-2.903456796	
3.7109	0.0195	-2.818417174	
3.7305	0.0195	-2.206371065	
3.7500	0.0195	-1.359226479	
3.7695	0.0195	-2.273137044	
3.7891	0.0195	-2.138798896	
3.8086	0.0195	-1.906092115	
3.8281	0.0195	-1.742623630	
3.8477	0.0195	-1.359236556	
3.8672	0.0195	-0.929537218	
3.8867	0.0195	-1.150943900	
3.9063	0.0195	-0.916204848	
3.9258	0.0195	-0.700992394	
3.9453	0.0195	0.816741141	
3.9648	0.0195	1.706345075	
3.9844	0.0195	1.940758291	
4.0039	0.0195	1.419825103	
