Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-33.308961145	
0.0195	0.0000	-33.301624815	
0.0391	0.0000	-33.123644908	
0.0586	0.0000	-32.903877479	
0.0781	0.0000	-33.297432626	
0.0977	0.0000	-34.555297492	
0.1172	0.0000	-34.279284865	
0.1367	0.0000	-34.251323504	
0.1562	0.0000	-34.205437849	
0.1758	0.0000	-34.007639101	
0.1953	0.0000	-33.635978734	
0.2148	0.0000	-33.350977087	
0.2344	0.0000	-33.481660507	
0.2539	0.0000	-33.435398630	
0.2734	0.0000	-32.429931739	
0.2930	0.0000	-32.942823180	
0.3125	0.0000	-33.406933400	
0.3320	0.0000	-33.294133965	
0.3516	0.0000	-32.902137452	
0.3711	0.0000	-32.283003588	
0.3906	0.0000	-32.958564043	
0.4102	0.0000	-33.028769766	
0.4297	0.0000	-32.477093862	
0.4492	0.0000	-32.469435055	
0.4688	0.0000	-32.752790731	
0.4883	0.0000	-32.767329026	
0.5078	0.0000	-32.039943983	
0.5273	0.0000	-30.123737540	
0.5469	0.0000	-27.847311912	
0.5664	0.0000	-24.787437436	
0.5859	0.0000	-20.658924353	
0.6055	0.0000	-14.361222366	
0.6250	0.0000	-7.540007383	
0.6445	0.0000	-0.801588126	
0.6641	0.0000	5.367116722	
0.6836	0.0000	10.562823987	
0.7031	0.0000	14.394659102	
0.7227	0.0000	18.625276164	
0.7422	0.0000	23.073242085	
0.7617	0.0000	26.772761245	
0.7812	0.0000	29.340812716	
0.8008	0.0000	31.429510254	
0.8203	0.0000	32.967640400	
0.8398	0.0000	33.104531483	
0.8594	0.0000	32.620320256	
0.8789	0.0000	31.276871590	
0.8984	0.0000	29.965280871	
0.9180	0.0000	28.402682855	
0.9375	0.0000	26.392535108	
0.9570	0.0000	24.133482877	
0.9766	0.0000	20.994850343	
0.9961	0.0000	16.252584716	
1.0156	0.0000	11.282610688	
1.0352	0.0000	6.339261088	
1.0547	0.0000	-0.482343554	
1.0742	0.0000	-8.581356453	
1.0938	0.0000	-18.055541601	
1.1133	0.0000	-27.187095943	
1.1328	0.0000	-29.359476017	
1.1523	0.0000	-28.805448725	
1.1719	0.0000	-29.043288249	
1.1914	0.0000	-28.445887928	
1.2109	0.0000	-28.330589303	
1.2305	0.0000	-29.014661781	
1.2500	0.0000	-28.782250604	
1.2695	0.0000	-28.554165980	
1.2891	0.0000	-27.368636524	
1.3086	0.0000	-26.200063933	
1.3281	0.0000	-25.983662348	
1.3477	0.0000	-25.895868243	
1.3672	0.0000	-25.965778364	
1.3867	0.0000	-25.898555543	
1.4062	0.0000	-25.659641099	
1.4258	0.0000	-26.043367445	
1.4453	0.0000	-27.566139669	
1.4648	0.0000	-27.985627265	
1.4844	0.0000	-27.768520264	
1.5039	0.0000	-27.754002123	
1.5234	0.0000	-26.829073626	
1.5430	0.0000	-25.312831542	
1.5625	0.0000	-23.451593830	
1.5820	0.0000	-21.708382353	
1.6016	0.0000	-21.135980643	
1.6211	0.0000	-20.786040382	
1.6406	0.0000	-18.869807066	
1.6602	0.0000	-16.452795316	
1.6797	0.0000	-13.518599163	
1.6992	0.0000	-9.629222227	
1.7188	0.0000	-3.457097789	
1.7383	0.0000	3.829517319	
1.7578	0.0000	11.156939083	
1.7773	0.0000	18.180454043	
1.7969	0.0000	25.127468277	
1.8164	0.0000	32.503919838	
1.8359	0.0000	39.126879232	
1.8555	0.0000	45.302134375	
1.8750	0.0000	51.494037345	
1.8945	0.0000	57.307971509	
1.9141	0.0000	62.290575849	
1.9336	0.0000	66.925980975	
1.9531	0.0000	71.229719482	
1.9727	0.0000	75.591853027	
1.9922	0.0000	79.627398951	
2.0117	0.0000	83.454396925	
2.0312	0.0000	85.939625797	
2.0508	0.0000	88.211724871	
2.0703	0.0000	89.919759586	
