Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	23.380333341	
0.0195	0.0000	23.445191337	
0.0391	0.0000	22.628473709	
0.0586	0.0000	21.347047937	
0.0781	0.0000	20.663613693	
0.0977	0.0000	20.565977350	
0.1172	0.0000	20.617882558	
0.1367	0.0000	20.957281883	
0.1562	0.0000	21.487687805	
0.1758	0.0000	20.751065167	
0.1953	0.0000	19.400092060	
0.2148	0.0000	18.535520330	
0.2344	0.0000	17.972362934	
0.2539	0.0000	17.655127119	
0.2734	0.0000	17.316332436	
0.2930	0.0000	16.882481218	
0.3125	0.0000	16.552998031	
0.3320	0.0000	16.272175136	
0.3516	0.0000	15.988732124	
0.3711	0.0000	15.711113835	
0.3906	0.0000	15.861414548	
0.4102	0.0000	14.817673780	
0.4297	0.0000	14.425811632	
0.4492	0.0000	14.555447005	
0.4688	0.0000	14.541385705	
0.4883	0.0000	15.542270749	
0.5078	0.0000	15.591925343	
0.5273	0.0000	15.200358798	
0.5469	0.0000	14.947275562	
0.5664	0.0000	14.626909041	
0.5859	0.0000	16.148176377	
0.6055	0.0000	18.390009730	
0.6250	0.0000	18.643825255	
0.6445	0.0000	17.088220939	
0.6641	0.0000	14.413107419	
0.6836	0.0000	12.724448141	
0.7031	0.0000	12.276562497	
0.7227	0.0000	11.985245694	
0.7422	0.0000	11.578838532	
0.7617	0.0000	11.041297828	
0.7812	0.0000	10.535097765	
0.8008	0.0000	10.266596142	
0.8203	0.0000	10.080097493	
0.8398	0.0000	10.015810548	
0.8594	0.0000	9.719549113	
0.8789	0.0000	9.420499603	
0.8984	0.0000	8.468644355	
0.9180	0.0000	6.986779563	
0.9375	0.0000	6.256922203	
0.9570	0.0000	6.126803116	
0.9766	0.0000	5.651050167	
0.9961	0.0000	6.216740343	
1.0156	0.0000	6.728005968	
1.0352	0.0000	6.367047775	
1.0547	0.0000	5.542301837	
1.0742	0.0000	3.720842889	
1.0938	0.0000	2.889002479	
1.1133	0.0000	2.526613298	
1.1328	0.0000	2.670786966	
1.1523	0.0000	3.379320596	
1.1719	0.0000	3.865124049	
1.1914	0.0000	3.487229145	
1.2109	0.0000	3.191773900	
