Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-70.375050454	
0.0195	0.0000	-56.661245788	
0.0391	0.0000	-43.603706759	
0.0586	0.0000	-31.276495368	
0.0781	0.0000	-19.649003262	
0.0977	0.0000	-9.752885074	
0.1172	0.0000	-0.330699191	
0.1367	0.0000	7.978594968	
0.1562	0.0000	16.238093449	
0.1758	0.0000	24.094416247	
0.1953	0.0000	31.127215829	
0.2148	0.0000	37.186164610	
0.2344	0.0000	43.382676299	
0.2539	0.0000	49.413489045	
0.2734	0.0000	55.651761383	
0.2930	0.0000	61.619664425	
0.3125	0.0000	67.532665919	
0.3320	0.0000	71.558618181	
0.3516	0.0000	75.352360813	
0.3711	0.0000	77.979331345	
0.3906	0.0000	79.901234864	
0.4102	0.0000	81.204118730	
0.4297	0.0000	83.691107783	
0.4492	0.0000	86.677585367	
0.4688	0.0000	88.184005367	
0.4883	0.0000	88.948676704	
0.5078	0.0000	89.395709130	
0.5273	0.0000	90.042112374	
0.5469	0.0000	89.531552166	
0.5664	0.0000	87.662669084	
0.5859	0.0000	85.852261660	
0.6055	0.0000	83.184605399	
0.6250	0.0000	80.162709196	
0.6445	0.0000	77.857301032	
0.6641	0.0000	76.451332322	
0.6836	0.0000	75.479900091	
0.7031	0.0000	74.153152997	
0.7227	0.0000	71.965717322	
0.7422	0.0000	69.041020776	
0.7617	0.0000	65.523559501	
0.7812	0.0000	61.634847672	
0.8008	0.0000	56.314127192	
0.8203	0.0000	50.072038887	
0.8398	0.0000	43.489066523	
0.8594	0.0000	36.286967014	
0.8789	0.0000	29.803559131	
0.8984	0.0000	23.440004847	
0.9180	0.0000	15.430022210	
0.9375	0.0000	7.053357431	
0.9570	0.0000	-1.286894428	
0.9766	0.0000	-10.258769380	
0.9961	0.0000	-19.532643153	
1.0156	0.0000	-29.207757753	
1.0352	0.0000	-39.434333274	
1.0547	0.0000	-48.627453670	
1.0742	0.0000	-50.268346183	
1.0938	0.0000	-50.045515232	
1.1133	0.0000	-49.698235398	
1.1328	0.0000	-48.967155317	
1.1523	0.0000	-49.644919357	
1.1719	0.0000	-49.984110417	
1.1914	0.0000	-48.543260547	
1.2109	0.0000	-47.409622862	
1.2305	0.0000	-47.021200458	
1.2500	0.0000	-46.630601341	
1.2695	0.0000	-46.117031357	
1.2891	0.0000	-45.650999717	
1.3086	0.0000	-45.230679057	
1.3281	0.0000	-44.990891240	
1.3477	0.0000	-44.729900622	
1.3672	0.0000	-45.229872867	
1.3867	0.0000	-45.000726759	
1.4062	0.0000	-43.741296541	
1.4258	0.0000	-44.108139923	
1.4453	0.0000	-44.645626881	
1.4648	0.0000	-44.209236165	
1.4844	0.0000	-43.480171559	
1.5039	0.0000	-43.403019164	
1.5234	0.0000	-43.047569936	
