Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-2.282421667	
0.0195	0.0000	-2.694445287	
0.0391	0.0000	-4.028965397	
0.0586	0.0000	-3.771864647	
0.0781	0.0000	-3.484252960	
0.0977	0.0000	-2.946467039	
0.1172	0.0000	-3.013481594	
0.1367	0.0000	-3.728148987	
0.1562	0.0000	-3.983140207	
0.1758	0.0000	-3.781831173	
0.1953	0.0000	-2.930947879	
0.2148	0.0000	-0.887732900	
0.2344	0.0000	-0.811393414	
0.2539	0.0000	-1.028480260	
0.2734	0.0000	-0.992655186	
0.2930	0.0000	-1.142656937	
0.3125	0.0000	-2.163448159	
0.3320	0.0000	-2.907554929	
0.3516	0.0000	-3.341815960	
0.3711	0.0000	-2.801517413	
0.3906	0.0000	-3.264683719	
0.4102	0.0000	-3.412276977	
0.4297	0.0000	-3.278026166	
0.4492	0.0000	-3.244522248	
0.4688	0.0000	-2.983125176	
0.4883	0.0000	-1.951907229	
0.5078	0.0000	-0.787819071	
0.5273	0.0000	-0.438758900	
0.5469	0.0000	-0.408724958	
0.5664	0.0000	-0.263819001	
0.5859	0.0000	0.087538811	
0.6055	0.0000	0.597349935	
0.6250	0.0000	0.143753777	
0.6445	0.0000	0.277880301	
0.6641	0.0000	-0.395765452	
0.6836	0.0000	-2.131875738	
0.7031	0.0000	0.009193927	
0.7227	0.0000	5.966354485	
0.7422	0.0000	11.682813545	
0.7617	0.0000	15.422098033	
0.7812	0.0000	17.569795253	
0.8008	0.0000	18.625467634	
0.8203	0.0000	18.088954822	
0.8398	0.0000	15.514164946	
0.8594	0.0000	10.977763327	
0.8789	0.0000	5.120879384	
0.8984	0.0000	1.522762146	
0.9180	0.0000	1.076529192	
0.9375	0.0000	1.292269029	
0.9570	0.0000	1.332733055	
0.9766	0.0000	1.349548838	
0.9961	0.0000	1.576266298	
1.0156	0.0000	1.427047223	
1.0352	0.0000	1.536383400	
1.0547	0.0000	1.701470984	
1.0742	0.0000	1.759147169	
1.0938	0.0000	1.777155441	
1.1133	0.0000	1.825224527	
1.1328	0.0000	1.843084998	
1.1523	0.0000	1.795204022	
1.1719	0.0000	1.628692170	
1.1914	0.0000	1.671557971	
1.2109	0.0000	1.520981810	
1.2305	0.0000	1.442784726	
1.2500	0.0000	1.955434310	
1.2695	0.0000	1.966539579	
1.2891	0.0000	2.091247115	
1.3086	0.0000	2.317403601	
1.3281	0.0000	2.464187309	
1.3477	0.0000	2.452947675	
1.3672	0.0000	2.000251763	
1.3867	0.0000	0.286671132	
1.4062	0.0000	0.273644443	
1.4258	0.0000	1.907785115	
1.4453	0.0000	2.691217167	
1.4648	0.0000	2.604625629	
1.4844	0.0000	2.574773081	
1.5039	0.0000	3.001240940	
1.5234	0.0000	3.203346087	
1.5430	0.0000	2.740367892	
1.5625	0.0000	2.657941670	
1.5820	0.0000	2.534745741	
1.6016	0.0000	1.460772843	
1.6211	0.0000	0.581266441	
1.6406	0.0000	0.669131088	
1.6602	0.0000	0.275878262	
1.6797	0.0000	1.618053819	
1.6992	0.0000	2.941797855	
1.7188	0.0000	2.115043160	
1.7383	0.0000	0.762178865	
1.7578	0.0000	0.652248123	
1.7773	0.0000	0.489750425	
1.7969	0.0000	0.411664193	
1.8164	0.0000	2.000161067	
1.8359	0.0000	0.156461349	
1.8555	0.0000	-0.795951513	
1.8750	0.0000	-1.142717401	
1.8945	0.0000	-0.984294323	
1.9141	0.0000	-0.386188585	
1.9336	0.0000	-0.436222760	
1.9531	0.0000	-0.408886196	
1.9727	0.0000	-0.482192393	
1.9922	0.0000	-0.383978281	
2.0117	0.0000	-0.357582272	
2.0312	0.0000	-0.586147251	
2.0508	0.0000	-0.677374382	
2.0703	0.0000	-0.756310473	
2.0898	0.0000	-0.726730014	
2.1094	0.0000	-0.698479768	
2.1289	0.0000	-0.551064544	
2.1484	0.0000	-0.492931517	
2.1680	0.0000	-0.217251444	
2.1875	0.0000	-0.565586043	
2.2070	0.0000	-0.701435798	
2.2266	0.0000	-1.151703062	
2.2461	0.0000	-1.884217490	
2.2656	0.0000	-4.067104909	
2.2852	0.0000	-5.724732586	
2.3047	0.0000	-5.763154263	
2.3242	0.0000	-4.543855518	
2.3438	0.0000	-4.805030888	
2.3633	0.0000	-4.601367106	
2.3828	0.0000	-3.556537982	
2.4023	0.0000	-3.402978918	
2.4219	0.0000	-4.162661953	
2.4414	0.0000	-5.128447494	
2.4609	0.0000	-5.497366815	
2.4805	0.0000	-5.478858033	
2.5000	0.0000	-5.326199214	
2.5195	0.0000	-5.295305337	
2.5391	0.0000	-5.411984562	
2.5586	0.0000	-5.248455613	
2.5781	0.0000	-5.160601044	
2.5977	0.0000	-3.698702893	
2.6172	0.0000	-2.978220853	
2.6367	0.0000	-2.845411107	
2.6562	0.0000	-2.938774642	
2.6758	0.0000	-2.823979886	
2.6953	0.0000	-2.776958847	
2.7148	0.0000	-2.726205819	
2.7344	0.0000	-3.248640536	
2.7539	0.0000	-4.564134559	
2.7734	0.0000	-4.540009319	
2.7930	0.0000	-4.668966149	
2.8125	0.0000	-3.706842054	
2.8320	0.0000	-2.577876913	
2.8516	0.0000	-2.467422147	
2.8711	0.0000	-2.425117320	
2.8906	0.0000	-2.247480043	
2.9102	0.0000	-2.293604196	
2.9297	0.0000	-2.379554141	
2.9492	0.0000	-3.244589430	
2.9688	0.0000	-3.784931645	
2.9883	0.0000	-3.802016158	
3.0078	0.0000	-4.310624714	
3.0273	0.0000	-3.535227690	
3.0469	0.0000	-1.900845161	
3.0664	0.0000	-2.290926973	
3.0859	0.0000	-3.701148336	
3.1055	0.0000	-3.899078090	
3.1250	0.0000	-3.619622360	
3.1445	0.0000	-3.421655655	
3.1641	0.0000	-3.612769744	
3.1836	0.0000	-3.639582284	
3.2031	0.0000	-3.015923678	
3.2227	0.0000	-1.833440948	
3.2422	0.0000	-2.239377833	
3.2617	0.0000	-1.608863252	
3.2812	0.0000	-1.091363090	
3.3008	0.0000	-1.154202252	
3.3203	0.0000	-1.125834436	
3.3398	0.0000	-0.969709000	
3.3594	0.0000	-0.881330407	
3.3789	0.0000	-0.900981292	
3.3984	0.0000	-0.990021632	
3.4180	0.0000	-0.768809779	
3.4375	0.0000	-0.509387873	
3.4570	0.0000	-0.536899111	
3.4766	0.0000	-0.435325874	
3.4961	0.0000	-0.421133568	
3.5156	0.0000	-0.511648565	
3.5352	0.0000	-0.438456579	
3.5547	0.0000	-0.140293878	
3.5742	0.0000	0.035636963	
3.5938	0.0000	-0.029217674	
3.6133	0.0000	0.008236576	
3.6328	0.0000	2.219807567	
3.6523	0.0000	5.676797864	
3.6719	0.0000	6.531043642	
3.6914	0.0000	4.656238422	
3.7109	0.0000	1.743547390	
3.7305	0.0000	0.256855534	
3.7500	0.0000	0.229035256	
3.7695	0.0000	0.282210213	
3.7891	0.0000	0.373622097	
3.8086	0.0000	0.224120856	
3.8281	0.0000	0.174086681	
3.8477	0.0000	0.400390968	
3.8672	0.0000	0.509985798	
3.8867	0.0000	0.505138580	
3.9063	0.0000	0.493657088	
3.9258	0.0000	0.522871403	
3.9453	0.0000	0.571451077	
3.9648	0.0000	0.602133329	
3.9844	0.0000	0.466589255	
4.0039	0.0000	-0.253587105	
4.0234	0.0000	-0.694838476	
4.0430	0.0000	-0.058976167	
4.0625	0.0000	0.624290121	
4.0820	0.0000	-0.133525240	
4.1016	0.0000	-1.065635548	
4.1211	0.0000	-0.719467584	
4.1406	0.0000	-0.878428123	
4.1602	0.0000	-1.047103252	
4.1797	0.0000	-0.869093113	
4.1992	0.0000	0.261487768	
4.2187	0.0000	1.136812059	
4.2383	0.0000	1.090288170	
4.2578	0.0000	1.156859320	
4.2773	0.0000	1.178549193	
4.2969	0.0000	1.465371486	
4.3164	0.0000	1.624892999	
4.3359	0.0000	1.679747519	
4.3555	0.0000	1.680211078	
4.3750	0.0000	1.720792674	
4.3945	0.0000	1.725999318	
4.4141	0.0000	1.920778212	
4.4336	0.0000	1.944782523	
4.4531	0.0000	1.788804888	
4.4727	0.0000	1.999640402	
4.4922	0.0000	2.055663898	
4.5117	0.0000	1.939952101	
4.5312	0.0000	1.973052924	
4.5508	0.0000	0.961156666	
4.5703	0.0000	0.057904606	
4.5898	0.0000	0.054579072	
4.6094	0.0000	0.921021834	
4.6289	0.0000	3.044546787	
4.6484	0.0000	0.854766442	
4.6680	0.0000	0.247090556	
4.6875	0.0000	0.910228964	
4.7070	0.0000	2.182319726	
4.7266	0.0000	2.571272872	
4.7461	0.0000	2.830012875	
4.7656	0.0000	2.916695110	
4.7852	0.0000	2.979356237	
4.8047	0.0000	3.048530709	
4.8242	0.0000	2.923873561	
4.8437	0.0000	2.914837513	
4.8633	0.0000	1.663297881	
4.8828	0.0000	0.291908009	
4.9023	0.0000	0.607091399	
4.9219	0.0000	0.951919071	
4.9414	0.0000	1.955256277	
4.9609	0.0000	3.280716825	
4.9805	0.0000	3.198774317	
0.0000	0.0195	-4.199508201	
0.0195	0.0195	-4.640893937	
0.0391	0.0195	-4.701059234	
0.0586	0.0195	-4.422735529	
0.0781	0.0195	-4.345996306	
0.0977	0.0195	-2.945815369	
0.1172	0.0195	-3.442976025	
0.1367	0.0195	-4.539861518	
0.1562	0.0195	-4.629976779	
0.1758	0.0195	-3.811650130	
0.1953	0.0195	-2.394932218	
0.2148	0.0195	-1.703859322	
0.2344	0.0195	-1.635561581	
0.2539	0.0195	-2.430851347	
0.2734	0.0195	-3.519634629	
0.2930	0.0195	-3.082044705	
0.3125	0.0195	-3.598755472	
0.3320	0.0195	-4.054410773	
0.3516	0.0195	-3.558681104	
0.3711	0.0195	-2.213996280	
0.3906	0.0195	-2.745389785	
0.4102	0.0195	-3.786947121	
0.4297	0.0195	-3.821300898	
0.4492	0.0195	-3.038137575	
0.4688	0.0195	-1.420083756	
0.4883	0.0195	-0.556798571	
0.5078	0.0195	-0.457150112	
0.5273	0.0195	-0.379362842	
0.5469	0.0195	-0.429790035	
0.5664	0.0195	-0.527107260	
0.5859	0.0195	-0.233785060	
0.6055	0.0195	-0.065449202	
0.6250	0.0195	-0.228753090	
0.6445	0.0195	-0.376080976	
0.6641	0.0195	-0.984307760	
0.6836	0.0195	-1.488509143	
0.7031	0.0195	2.085388800	
0.7227	0.0195	7.875244752	
0.7422	0.0195	12.948807494	
0.7617	0.0195	16.424105025	
0.7812	0.0195	18.748787851	
0.8008	0.0195	19.740347962	
0.8203	0.0195	19.049416150	
0.8398	0.0195	16.611423301	
0.8594	0.0195	12.380886858	
0.8789	0.0195	6.251376287	
0.8984	0.0195	1.363593342	
0.9180	0.0195	0.151583899	
0.9375	0.0195	0.332550069	
0.9570	0.0195	0.280097324	
0.9766	0.0195	0.467942982	
0.9961	0.0195	0.990169434	
1.0156	0.0195	0.862727570	
1.0352	0.0195	0.705040140	
1.0547	0.0195	0.611092117	
1.0742	0.0195	0.982843181	
