Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-0.848994153	
0.0195	0.0000	-2.416859750	
0.0391	0.0000	-1.893266554	
0.0586	0.0000	-1.438105569	
0.0781	0.0000	-1.117000461	
0.0977	0.0000	-0.982071527	
0.1172	0.0000	0.668615725	
0.1367	0.0000	0.661117737	
0.1562	0.0000	0.408161675	
0.1758	0.0000	1.416611050	
0.1953	0.0000	1.724938044	
0.2148	0.0000	-0.762064970	
0.2344	0.0000	-2.583128066	
0.2539	0.0000	-1.575914744	
0.2734	0.0000	0.744662758	
0.2930	0.0000	1.807973318	
0.3125	0.0000	0.067932429	
0.3320	0.0000	-0.050483914	
0.3516	0.0000	0.518914301	
0.3711	0.0000	0.218634879	
0.3906	0.0000	-0.336185614	
0.4102	0.0000	-0.026407500	
0.4297	0.0000	0.769758522	
0.4492	0.0000	1.017580948	
0.4688	0.0000	0.130798221	
0.4883	0.0000	-0.079510350	
0.5078	0.0000	0.259317458	
0.5273	0.0000	3.195756983	
0.5469	0.0000	3.345721363	
0.5664	0.0000	1.698083305	
0.5859	0.0000	-0.976049769	
0.6055	0.0000	-1.357190009	
0.6250	0.0000	-1.139720747	
0.6445	0.0000	-0.643457397	
0.6641	0.0000	-0.777621290	
0.6836	0.0000	-0.641939964	
0.7031	0.0000	-0.034717993	
0.7227	0.0000	1.093678997	
0.7422	0.0000	0.595063420	
0.7617	0.0000	-0.411304189	
0.7812	0.0000	0.828776993	
0.8008	0.0000	2.093406613	
0.8203	0.0000	2.753716217	
0.8398	0.0000	2.415854951	
0.8594	0.0000	0.997282382	
0.8789	0.0000	3.133954531	
0.8984	0.0000	3.102176784	
0.9180	0.0000	0.280806440	
0.9375	0.0000	-1.159855765	
0.9570	0.0000	-1.084410225	
0.9766	0.0000	-1.462567666	
0.9961	0.0000	-0.816850103	
1.0156	0.0000	-2.065894325	
1.0352	0.0000	-1.936138444	
1.0547	0.0000	-1.172838155	
1.0742	0.0000	-0.620128060	
1.0938	0.0000	-1.144219245	
1.1133	0.0000	-1.327453245	
1.1328	0.0000	-0.669992284	
1.1523	0.0000	0.678629016	
1.1719	0.0000	1.989883402	
1.1914	0.0000	0.954707880	
1.2109	0.0000	1.188717581	
1.2305	0.0000	1.450487096	
1.2500	0.0000	1.000672894	
1.2695	0.0000	1.913467705	
1.2891	0.0000	1.227372614	
1.3086	0.0000	0.843061307	
1.3281	0.0000	0.553289282	
1.3477	0.0000	1.226417257	
1.3672	0.0000	2.259079104	
1.3867	0.0000	0.888810865	
1.4062	0.0000	-1.541705095	
