Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-1.334476967	
0.0195	0.0000	-1.785988472	
0.0391	0.0000	0.037205707	
0.0586	0.0000	0.118438056	
0.0781	0.0000	-0.463703136	
0.0977	0.0000	-0.072289169	
0.1172	0.0000	-1.083605715	
0.1367	0.0000	-1.130517267	
0.1562	0.0000	0.397262021	
0.1758	0.0000	0.977257270	
0.1953	0.0000	0.320409166	
0.2148	0.0000	-0.608608779	
0.2344	0.0000	0.114673381	
0.2539	0.0000	0.220763252	
0.2734	0.0000	-0.135926897	
0.2930	0.0000	1.036067265	
0.3125	0.0000	-0.382738055	
0.3320	0.0000	-2.027048138	
0.3516	0.0000	-0.364258954	
0.3711	0.0000	-0.236549751	
0.3906	0.0000	-0.100657719	
0.4102	0.0000	1.837848541	
0.4297	0.0000	3.320750044	
0.4492	0.0000	2.643491761	
0.4688	0.0000	0.400155462	
0.4883	0.0000	-0.236927600	
0.5078	0.0000	-0.906862910	
0.5273	0.0000	-0.673274097	
0.5469	0.0000	-1.254232916	
0.5664	0.0000	-1.096237811	
0.5859	0.0000	-0.419647470	
0.6055	0.0000	0.883607894	
0.6250	0.0000	1.504517266	
0.6445	0.0000	1.540361130	
0.6641	0.0000	-0.309231885	
0.6836	0.0000	-2.756373076	
0.7031	0.0000	-3.385837510	
0.7227	0.0000	-4.247377419	
0.7422	0.0000	-3.256346160	
0.7617	0.0000	-2.172643135	
0.7812	0.0000	-2.602011390	
0.8008	0.0000	-2.104247561	
0.8203	0.0000	-0.400611227	
0.8398	0.0000	-1.289964669	
0.8594	0.0000	-0.691574770	
0.8789	0.0000	-0.218050299	
0.8984	0.0000	0.113544387	
0.9180	0.0000	0.869047292	
0.9375	0.0000	0.808645439	
0.9570	0.0000	0.602954740	
0.9766	0.0000	0.232492164	
0.9961	0.0000	-1.168294833	
1.0156	0.0000	-1.289174330	
1.0352	0.0000	1.170722011	
1.0547	0.0000	2.621966905	
1.0742	0.0000	2.905190315	
1.0938	0.0000	4.021973797	
1.1133	0.0000	3.706238251	
1.1328	0.0000	2.575108363	
1.1523	0.0000	2.081916724	
1.1719	0.0000	0.970283305	
1.1914	0.0000	1.411304891	
1.2109	0.0000	0.666219199	
1.2305	0.0000	0.835742770	
1.2500	0.0000	0.989585995	
1.2695	0.0000	-0.861283513	
1.2891	0.0000	-1.705046878	
1.3086	0.0000	0.669500802	
1.3281	0.0000	2.816138427	
1.3477	0.0000	1.761973033	
1.3672	0.0000	0.728029418	
1.3867	0.0000	1.346157486	
1.4062	0.0000	1.525355391	
1.4258	0.0000	-0.559900461	
1.4453	0.0000	-1.908849328	
1.4648	0.0000	-1.500680095	
1.4844	0.0000	-1.880991680	
1.5039	0.0000	0.425083637	
1.5234	0.0000	0.963358573	
1.5430	0.0000	-0.466357160	
1.5625	0.0000	-0.201797196	
1.5820	0.0000	-0.689090120	
1.6016	0.0000	-2.578253555	
1.6211	0.0000	-2.605292626	
1.6406	0.0000	-1.019373566	
1.6602	0.0000	-0.786873109	
1.6797	0.0000	-2.098347676	
1.6992	0.0000	-0.928704889	
1.7188	0.0000	2.505888753	
1.7383	0.0000	3.752428747	
1.7578	0.0000	1.606251637	
1.7773	0.0000	1.602323454	
1.7969	0.0000	2.099496077	
1.8164	0.0000	1.922720837	
1.8359	0.0000	1.817037919	
1.8555	0.0000	-0.789567653	
1.8750	0.0000	-1.402653148	
1.8945	0.0000	-0.809234755	
1.9141	0.0000	-2.727810851	
1.9336	0.0000	-2.057213085	
1.9531	0.0000	-0.376029304	
1.9727	0.0000	0.356833082	
1.9922	0.0000	-0.399028659	
2.0117	0.0000	-0.545491282	
2.0312	0.0000	-0.466153513	
2.0508	0.0000	1.645079034	
2.0703	0.0000	1.973892285	
2.0898	0.0000	1.209095297	
2.1094	0.0000	1.489496936	
2.1289	0.0000	1.132954628	
2.1484	0.0000	-1.140613749	
2.1680	0.0000	0.547261436	
2.1875	0.0000	1.751758457	
2.2070	0.0000	-0.911441608	
2.2266	0.0000	-1.821460417	
2.2461	0.0000	1.070930055	
2.2656	0.0000	0.856653431	
2.2852	0.0000	0.019366490	
2.3047	0.0000	-0.438957351	
2.3242	0.0000	0.618786247	
2.3438	0.0000	1.061111121	
2.3633	0.0000	1.004646215	
2.3828	0.0000	1.632515694	
2.4023	0.0000	2.583076419	
2.4219	0.0000	3.350564592	
2.4414	0.0000	0.610830158	
2.4609	0.0000	-0.030418204	
2.4805	0.0000	1.900335204	
2.5000	0.0000	0.874157939	
2.5195	0.0000	1.423518042	
2.5391	0.0000	-1.089085813	
2.5586	0.0000	-1.251820014	
2.5781	0.0000	-2.068051933	
2.5977	0.0000	-2.982182312	
2.6172	0.0000	-3.016759050	
2.6367	0.0000	-2.553527032	
2.6562	0.0000	-0.710513993	
2.6758	0.0000	-0.802545319	
2.6953	0.0000	-0.625712291	
2.7148	0.0000	0.391694927	
2.7344	0.0000	1.934294704	
2.7539	0.0000	2.594384915	
2.7734	0.0000	0.421469402	
2.7930	0.0000	-2.085934448	
2.8125	0.0000	-2.718126702	
2.8320	0.0000	-1.852578726	
2.8516	0.0000	-2.149194340	
2.8711	0.0000	-2.918250805	
2.8906	0.0000	-2.066797720	
2.9102	0.0000	0.598300829	
2.9297	0.0000	2.592971773	
2.9492	0.0000	3.376113471	
2.9688	0.0000	2.124552215	
2.9883	0.0000	0.164941173	
3.0078	0.0000	-1.538986722	
3.0273	0.0000	-0.898755556	
3.0469	0.0000	0.219694092	
3.0664	0.0000	0.634904118	
3.0859	0.0000	0.257185883	
3.1055	0.0000	1.302352914	
3.1250	0.0000	0.856444378	
3.1445	0.0000	-1.312695557	
3.1641	0.0000	-0.677046238	
3.1836	0.0000	1.200350863	
3.2031	0.0000	0.547681432	
3.2227	0.0000	-0.969331308	
3.2422	0.0000	-1.999391827	
3.2617	0.0000	-2.152532261	
3.2812	0.0000	-1.626081499	
3.3008	0.0000	-1.758489515	
3.3203	0.0000	-1.328297750	
3.3398	0.0000	-0.220409179	
3.3594	0.0000	0.010331114	
3.3789	0.0000	-1.355735927	
3.3984	0.0000	-1.035683170	
3.4180	0.0000	-2.117769720	
3.4375	0.0000	-1.390537308	
3.4570	0.0000	-0.930570254	
3.4766	0.0000	-0.072721545	
3.4961	0.0000	0.890469328	
