Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	1.686200399	
0.0195	0.0000	1.486614596	
0.0391	0.0000	0.876382415	
0.0586	0.0000	0.212646083	
0.0781	0.0000	0.097737117	
0.0977	0.0000	-0.073685778	
0.1172	0.0000	-0.180022256	
0.1367	0.0000	-0.194533678	
0.1562	0.0000	-0.215091526	
0.1758	0.0000	-0.003493491	
0.1953	0.0000	-0.222481602	
0.2148	0.0000	-0.507953527	
0.2344	0.0000	-0.670857679	
0.2539	0.0000	-0.440394794	
0.2734	0.0000	-0.291625842	
0.2930	0.0000	-0.483499093	
0.3125	0.0000	-0.560812726	
0.3320	0.0000	-0.499622895	
0.3516	0.0000	-0.400300272	
0.3711	0.0000	-0.339217933	
0.3906	0.0000	-0.158496979	
0.4102	0.0000	-0.042244363	
0.4297	0.0000	0.103299828	
0.4492	0.0000	0.310302580	
0.4688	0.0000	0.716622405	
0.4883	0.0000	1.303313834	
0.5078	0.0000	1.915212141	
0.5273	0.0000	2.194019561	
0.5469	0.0000	1.576639160	
0.5664	0.0000	0.866896245	
0.5859	0.0000	0.222777205	
0.6055	0.0000	0.028485385	
0.6250	0.0000	-0.023460133	
0.6445	0.0000	0.016016311	
0.6641	0.0000	0.218585017	
0.6836	0.0000	0.716138691	
0.7031	0.0000	1.355098113	
0.7227	0.0000	1.661987822	
0.7422	0.0000	1.542617937	
0.7617	0.0000	0.857114471	
0.7812	0.0000	0.135090592	
0.8008	0.0000	-0.112812872	
0.8203	0.0000	-0.222884697	
0.8398	0.0000	-0.339594155	
0.8594	0.0000	-0.380736724	
0.8789	0.0000	-0.325566447	
0.8984	0.0000	-0.111227365	
0.9180	0.0000	0.077313633	
0.9375	0.0000	0.139873987	
0.9570	0.0000	0.265505282	
0.9766	0.0000	0.031387669	
0.9961	0.0000	0.024535053	
1.0156	0.0000	-0.031360796	
1.0352	0.0000	-0.143071875	
1.0547	0.0000	-0.231484059	
1.0742	0.0000	-0.454556867	
1.0938	0.0000	-0.375254632	
1.1133	0.0000	-0.472749891	
1.1328	0.0000	-0.486831345	
1.1523	0.0000	-0.330403587	
1.1719	0.0000	-0.566751660	
1.1914	0.0000	-0.766525574	
1.2109	0.0000	-0.710441614	
1.2305	0.0000	-0.568659643	
1.2500	0.0000	-0.606228103	
1.2695	0.0000	-0.380763597	
1.2891	0.0000	-0.338895457	
1.3086	0.0000	-0.012415328	
1.3281	0.0000	0.639470010	
1.3477	0.0000	1.163466720	
1.3672	0.0000	1.295923758	
1.3867	0.0000	1.123829039	
1.4062	0.0000	0.526092805	
1.4258	0.0000	-0.101526210	
1.4453	0.0000	-0.221164825	
1.4648	0.0000	-0.295038714	
1.4844	0.0000	-0.250080178	
1.5039	0.0000	-0.235273152	
1.5234	0.0000	-0.357169100	
1.5430	0.0000	-0.342281455	
1.5625	0.0000	-0.228474282	
1.5820	0.0000	-0.165295849	
1.6016	0.0000	-0.380709851	
1.6211	0.0000	-0.335751315	
1.6406	0.0000	-0.347548564	
1.6602	0.0000	-0.594914569	
1.6797	0.0000	-0.696279541	
1.6992	0.0000	-0.524534170	
1.7188	0.0000	0.169918006	
1.7383	0.0000	1.388689369	
1.7578	0.0000	2.765312758	
1.7773	0.0000	3.429828408	
1.7969	0.0000	2.871810474	
1.8164	0.0000	2.347410669	
1.8359	0.0000	1.898604625	
1.8555	0.0000	1.944127494	
1.8750	0.0000	1.822822753	
1.8945	0.0000	1.691816857	
1.9141	0.0000	1.646508972	
1.9336	0.0000	1.598056945	
1.9531	0.0000	1.262198138	
1.9727	0.0000	0.433192829	
1.9922	0.0000	-0.419191994	
2.0117	0.0000	-0.664193174	
2.0312	0.0000	-0.610715895	
2.0508	0.0000	-0.477533286	
2.0703	0.0000	-0.418654534	
2.0898	0.0000	-0.183220143	
2.1094	0.0000	-0.066913781	
2.1289	0.0000	-0.177361828	
2.1484	0.0000	-0.375765219	
2.1680	0.0000	-0.625818523	
2.1875	0.0000	-0.584165367	
2.2070	0.0000	-0.470841908	
2.2266	0.0000	-0.447139918	
2.2461	0.0000	-0.499166054	
2.2656	0.0000	-0.295092460	
2.2852	0.0000	-0.201036945	
2.3047	0.0000	-0.394710687	
2.3242	0.0000	-0.371371483	
2.3438	0.0000	-0.412702163	
2.3633	0.0000	-0.611804252	
2.3828	0.0000	-0.603110835	
2.4023	0.0000	-0.574141736	
2.4219	0.0000	-0.508168511	
2.4414	0.0000	-0.571051341	
2.4609	0.0000	-0.529478803	
2.4805	0.0000	-0.291478041	
2.5000	0.0000	-0.258907960	
2.5195	0.0000	-0.454059717	
2.5391	0.0000	-0.927548615	
2.5586	0.0000	-0.970182637	
2.5781	0.0000	-1.214337317	
2.5977	0.0000	-1.052414030	
2.6172	0.0000	-0.999192045	
