Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-1.217105236	
0.0195	0.0000	-0.868454879	
0.0391	0.0000	-1.247444858	
0.0586	0.0000	-0.901992388	
0.0781	0.0000	-1.219228204	
0.0977	0.0000	-1.262332503	
0.1172	0.0000	-1.228983104	
0.1367	0.0000	-1.155404819	
0.1562	0.0000	-1.030740952	
0.1758	0.0000	-1.031251539	
0.1953	0.0000	-1.199960260	
0.2148	0.0000	-1.213746111	
0.2344	0.0000	-0.845451587	
0.2539	0.0000	0.034531810	
0.2734	0.0000	0.830187721	
0.2930	0.0000	0.886943506	
0.3125	0.0000	1.159086420	
0.3320	0.0000	1.522033216	
0.3516	0.0000	1.512950140	
0.3711	0.0000	1.256366696	
0.3906	0.0000	1.305624912	
0.4102	0.0000	1.170158098	
0.4297	0.0000	0.740001919	
0.4492	0.0000	-0.437196906	
0.4688	0.0000	-0.888340902	
0.4883	0.0000	-0.840184478	
0.5078	0.0000	-0.943591799	
0.5273	0.0000	-1.044607422	
0.5469	0.0000	-1.074194600	
0.5664	0.0000	-0.925667505	
0.5859	0.0000	-1.030767825	
0.6055	0.0000	-1.259940805	
0.6250	0.0000	-1.586770283	
0.6445	0.0000	-1.430987477	
0.6641	0.0000	-1.256662299	
0.6836	0.0000	-1.117030168	
0.7031	0.0000	-1.161800594	
0.7227	0.0000	-1.196413023	
0.7422	0.0000	-1.218045792	
0.7617	0.0000	-0.030205257	
0.7812	0.0000	0.594780203	
0.8008	0.0000	0.865230118	
0.8203	0.0000	0.619207764	
0.8398	0.0000	1.038641615	
0.8594	0.0000	0.882778190	
0.8789	0.0000	0.723448148	
0.8984	0.0000	0.834836751	
0.9180	0.0000	0.576264704	
0.9375	0.0000	0.460468928	
0.9570	0.0000	0.772572000	
0.9766	0.0000	0.567101009	
0.9961	0.0000	0.720465244	
1.0156	0.0000	0.699826777	
1.0352	0.0000	0.628478951	
1.0547	0.0000	1.090130291	
1.0742	0.0000	1.248385413	
1.0938	0.0000	1.393553382	
1.1133	0.0000	1.604855815	
1.1328	0.0000	1.531062545	
1.1523	0.0000	1.369179568	
1.1719	0.0000	1.095451146	
1.1914	0.0000	1.183245251	
1.2109	0.0000	1.164138545	
1.2305	0.0000	0.991318254	
1.2500	0.0000	1.455200054	
1.2695	0.0000	1.414272469	
1.2891	0.0000	1.469389000	
1.3086	0.0000	1.263918010	
1.3281	0.0000	0.820594058	
1.3477	0.0000	-0.092066913	
1.3672	0.0000	-0.599348614	
1.3867	0.0000	-0.820540312	
1.4062	0.0000	-0.732719334	
1.4258	0.0000	-0.834030561	
1.4453	0.0000	-0.658576716	
