Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-0.360098257	
0.0195	0.0000	-0.100773766	
0.0391	0.0000	-0.118671187	
0.0586	0.0000	-0.500267847	
0.0781	0.0000	-0.409867061	
0.0977	0.0000	-1.057560210	
0.1172	0.0000	-1.773295806	
0.1367	0.0000	-1.229332453	
0.1562	0.0000	-0.684455419	
0.1758	0.0000	-0.597601869	
0.1953	0.0000	-0.796193370	
0.2148	0.0000	-1.043317518	
0.2344	0.0000	-1.232610960	
0.2539	0.0000	-1.024667653	
0.2734	0.0000	-1.575510494	
0.2930	0.0000	-2.456945034	
0.3125	0.0000	-1.713745228	
0.3320	0.0000	-0.844941000	
0.3516	0.0000	-0.722668831	
0.3711	0.0000	-0.410512013	
0.3906	0.0000	-0.545145765	
0.4102	0.0000	-0.736535301	
0.4297	0.0000	-0.822797645	
0.4492	0.0000	-1.077499979	
0.4688	0.0000	-1.783722531	
0.4883	0.0000	-1.835694922	
0.5078	0.0000	-1.107221522	
0.5273	0.0000	-1.748035182	
0.5469	0.0000	-2.440982470	
0.5664	0.0000	-2.088784876	
0.5859	0.0000	-1.515529949	
0.6055	0.0000	-1.345853800	
0.6250	0.0000	-1.484679740	
0.6445	0.0000	-1.151776963	
0.6641	0.0000	-1.031654634	
0.6836	0.0000	-1.392451589	
0.7031	0.0000	-1.573629384	
0.7227	0.0000	-1.988064856	
0.7422	0.0000	-1.603619657	
0.7617	0.0000	-1.211542524	
0.7812	0.0000	-1.196171166	
0.8008	0.0000	-1.164138545	
0.8203	0.0000	1.940607130	
0.8398	0.0000	5.642148484	
0.8594	0.0000	1.385249624	
0.8789	0.0000	-1.329085045	
0.8984	0.0000	-1.958343313	
0.9180	0.0000	-2.052130098	
0.9375	0.0000	-1.869124939	
0.9570	0.0000	-2.023859698	
0.9766	0.0000	-2.158547195	
0.9961	0.0000	-2.023698460	
1.0156	0.0000	-2.092332112	
1.0352	0.0000	-1.981507843	
1.0547	0.0000	-2.042563309	
1.0742	0.0000	-2.163438082	
1.0938	0.0000	-2.229223196	
1.1133	0.0000	-2.239166208	
1.1328	0.0000	-2.412819561	
1.1523	0.0000	-2.468554172	
1.1719	0.0000	-2.538800205	
1.1914	0.0000	-2.667468150	
1.2109	0.0000	-2.626029977	
1.2305	0.0000	-2.771627914	
1.2500	0.0000	-2.795007428	
1.2695	0.0000	-2.925932705	
1.2891	0.0000	-2.698103375	
1.3086	0.0000	-2.815645895	
1.3281	0.0000	-2.797049776	
1.3477	0.0000	-2.895781194	
1.3672	0.0000	-2.889869133	
1.3867	0.0000	-2.790439017	
1.4062	0.0000	-3.084268446	
1.4258	0.0000	-3.438024674	
1.4453	0.0000	-4.329455972	
1.4648	0.0000	-3.960919591	
1.4844	0.0000	-3.134574710	
1.5039	0.0000	-2.796028602	
1.5234	0.0000	-3.095071394	
1.5430	0.0000	-2.987901853	
1.5625	0.0000	-2.700575691	
1.5820	0.0000	-2.701865595	
1.6016	0.0000	-2.786300575	
1.6211	0.0000	-2.859878860	
1.6406	0.0000	-2.885730690	
1.6602	0.0000	-2.896318654	
1.6797	0.0000	-2.926953879	
1.6992	0.0000	-2.931092322	
1.7188	0.0000	-2.864124795	
1.7383	0.0000	-3.134682202	
1.7578	0.0000	-3.284257344	
1.7773	0.0000	-3.233843588	
1.7969	0.0000	-3.128555157	
1.8164	0.0000	-3.088299397	
1.8359	0.0000	-3.204229537	
1.8555	0.0000	-3.283988614	
1.8750	0.0000	-3.347516396	
1.8945	0.0000	-3.450278764	
1.9141	0.0000	-3.367187435	
1.9336	0.0000	-3.266574907	
1.9531	0.0000	-3.232177462	
1.9727	0.0000	-3.424964394	
1.9922	0.0000	-3.527028064	
2.0117	0.0000	-3.534659998	
2.0312	0.0000	-3.577925534	
2.0508	0.0000	-3.612591710	
2.0703	0.0000	-1.846175393	
2.0898	0.0000	-1.053045545	
2.1094	0.0000	-3.042991511	
2.1289	0.0000	-3.665907750	
2.1484	0.0000	-3.873259851	
2.1680	0.0000	-3.896155651	
2.1875	0.0000	-3.835153931	
2.2070	0.0000	-4.027403404	
2.2266	0.0000	-4.084965379	
2.2461	0.0000	-4.650265897	
2.2656	0.0000	-5.241740721	
2.2852	0.0000	-4.064595642	
2.3047	0.0000	-3.727876898	
2.3242	0.0000	-3.902766410	
2.3438	0.0000	-3.942215980	
2.3633	0.0000	-4.114794414	
2.3828	0.0000	-4.000960368	
2.4023	0.0000	-4.394166166	
2.4219	0.0000	-4.366809448	
2.4414	0.0000	-4.356221484	
2.4609	0.0000	-4.396907213	
2.4805	0.0000	-4.296993383	
2.5000	0.0000	-4.070561449	
2.5195	0.0000	-4.437969163	
2.5391	0.0000	-4.586361893	
2.5586	0.0000	-4.277644820	
2.5781	0.0000	-4.330315908	
2.5977	0.0000	-4.611998739	
2.6172	0.0000	-4.760982674	
2.6367	0.0000	-4.206592596	
2.6562	0.0000	-4.532132170	
2.6758	0.0000	-4.639516695	
2.6953	0.0000	-4.612858675	
2.7148	0.0000	-4.723844182	
2.7344	0.0000	-4.770925686	
2.7539	0.0000	-4.689554229	
2.7734	0.0000	-4.665261033	
2.7930	0.0000	-4.663756145	
2.8125	0.0000	-4.964035095	
2.8320	0.0000	-4.723575452	
2.8516	0.0000	-4.769528290	
2.8711	0.0000	-4.652469483	
2.8906	0.0000	-4.855683141	
2.9102	0.0000	-4.918028511	
2.9297	0.0000	-4.901689725	
2.9492	0.0000	-4.827036519	
2.9688	0.0000	-4.804516941	
2.9883	0.0000	-4.628713747	
3.0078	0.0000	-2.341821084	
3.0273	0.0000	2.082174117	
3.0469	0.0000	8.103661929	
3.0664	0.0000	16.105475173	
3.0859	0.0000	23.495336363	
3.1055	0.0000	29.101045053	
3.1250	0.0000	34.268992504	
3.1445	0.0000	39.871637673	
3.1641	0.0000	44.326590574	
3.1836	0.0000	47.671688400	
3.2031	0.0000	50.561880009	
3.2227	0.0000	53.087351204	
3.2422	0.0000	53.780728460	
3.2617	0.0000	53.868495692	
3.2812	0.0000	55.060044702	
3.3008	0.0000	55.279382162	
3.3203	0.0000	54.284597290	
3.3398	0.0000	52.110033785	
3.3594	0.0000	49.671308647	
3.3789	0.0000	46.514913058	
3.3984	0.0000	42.532118841	
3.4180	0.0000	38.539811581	
3.4375	0.0000	34.767218004	
3.4570	0.0000	30.645705339	
3.4766	0.0000	24.401386575	
3.4961	0.0000	16.944396620	
3.5156	0.0000	8.639617127	
3.5352	0.0000	1.638017102	
3.5547	0.0000	-1.464148765	
3.5742	0.0000	-3.641238332	
3.5938	0.0000	-5.688423798	
3.6133	0.0000	-6.848961360	
3.6328	0.0000	-6.947316556	
3.6523	0.0000	-7.132794031	
3.6719	0.0000	-6.651767255	
3.6914	0.0000	-4.106087560	
3.7109	0.0000	-3.783289033	
3.7305	0.0000	-6.779736501	
3.7500	0.0000	-7.454947606	
3.7695	0.0000	-7.311607002	
3.7891	0.0000	-7.195246893	
3.8086	0.0000	-7.251841440	
3.8281	0.0000	-7.169233825	
3.8477	0.0000	-7.178478138	
3.8672	0.0000	-7.259204643	
3.8867	0.0000	-7.391688554	
3.9063	0.0000	-7.291828470	
3.9258	0.0000	-7.177403218	
3.9453	0.0000	-7.208145935	
3.9648	0.0000	-7.611724713	
3.9844	0.0000	-7.438286344	
4.0039	0.0000	-7.537447730	
4.0234	0.0000	-8.007080352	
4.0430	0.0000	-8.267318525	
4.0625	0.0000	-8.293546578	
4.0820	0.0000	-6.500740971	
4.1016	0.0000	-3.336820940	
4.1211	0.0000	-6.485477104	
4.1406	0.0000	-7.446616975	
4.1602	0.0000	-2.501822951	
4.1797	0.0000	-0.864827023	
4.1992	0.0000	-6.152305597	
4.2187	0.0000	-8.057279124	
4.2383	0.0000	-8.114088655	
4.2578	0.0000	-8.853741225	
4.2773	0.0000	-9.301015508	
4.2969	0.0000	-8.728083057	
4.3164	0.0000	-7.430976887	
4.3359	0.0000	-6.228248708	
4.3555	0.0000	-5.636505153	
4.3750	0.0000	-5.782049345	
4.3945	0.0000	-5.872396385	
4.4141	0.0000	-5.990960080	
4.4336	0.0000	-6.896526578	
4.4531	0.0000	-7.951936947	
4.4727	0.0000	-8.398458786	
4.4922	0.0000	-8.220129530	
4.5117	0.0000	-8.145960038	
4.5312	0.0000	-8.071038102	
4.5508	0.0000	-8.155365590	
4.5703	0.0000	-8.380561365	
4.5898	0.0000	-8.445271560	
4.6094	0.0000	-8.518097401	
4.6289	0.0000	-8.578346677	
4.6484	0.0000	-8.360729088	
4.6680	0.0000	-8.364437563	
4.6875	0.0000	-8.592965591	
4.7070	0.0000	-9.204595168	
4.7266	0.0000	-9.807464146	
4.7461	0.0000	-9.096296961	
