Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	66.325046853	
0.0195	0.0000	66.943878396	
0.0391	0.0000	67.762430106	
0.0586	0.0000	68.204222296	
0.0781	0.0000	68.530084346	
0.0977	0.0000	68.385830059	
0.1172	0.0000	68.801555435	
0.1367	0.0000	68.800749245	
0.1562	0.0000	67.653164470	
0.1758	0.0000	66.473063361	
0.1953	0.0000	65.725832604	
0.2148	0.0000	64.531918770	
0.2344	0.0000	63.203424931	
0.2539	0.0000	61.496129224	
0.2734	0.0000	58.858705093	
0.2930	0.0000	57.896974016	
0.3125	0.0000	57.375476495	
0.3320	0.0000	55.526022596	
0.3516	0.0000	52.648407552	
0.3711	0.0000	49.734191477	
0.3906	0.0000	47.274021683	
0.4102	0.0000	45.925910550	
0.4297	0.0000	43.515294575	
0.4492	0.0000	39.518042682	
0.4688	0.0000	35.665206314	
0.4883	0.0000	32.214013868	
0.5078	0.0000	29.349942819	
0.5273	0.0000	25.710746835	
0.5469	0.0000	22.046881433	
0.5664	0.0000	17.281384094	
0.5859	0.0000	13.918926307	
0.6055	0.0000	10.591994633	
0.6250	0.0000	5.952316700	
0.6445	0.0000	1.839940856	
0.6641	0.0000	-2.245185761	
0.6836	0.0000	-7.939252889	
0.7031	0.0000	-15.151107299	
0.7227	0.0000	-20.356032004	
0.7422	0.0000	-22.595198212	
0.7617	0.0000	-25.025753956	
0.7812	0.0000	-28.313504790	
0.8008	0.0000	-30.115877187	
0.8203	0.0000	-30.887454885	
0.8398	0.0000	-32.030148773	
0.8594	0.0000	-32.660105739	
0.8789	0.0000	-32.879228216	
0.8984	0.0000	-32.181605025	
0.9180	0.0000	-32.369339833	
0.9375	0.0000	-32.113186356	
0.9570	0.0000	-32.080186307	
0.9766	0.0000	-32.433996281	
0.9961	0.0000	-32.925664767	
1.0156	0.0000	-33.167091837	
1.0352	0.0000	-33.343324999	
1.0547	0.0000	-33.587546862	
1.0742	0.0000	-33.536058186	
1.0938	0.0000	-33.288181595	
1.1133	0.0000	-33.184290560	
1.1328	0.0000	-33.359932516	
1.1523	0.0000	-33.385676854	
1.1719	0.0000	-33.373530256	
1.1914	0.0000	-33.413893509	
1.2109	0.0000	-33.743840255	
1.2305	0.0000	-33.922599479	
1.2500	0.0000	-33.910560374	
1.2695	0.0000	-33.932434999	
1.2891	0.0000	-33.925501764	
1.3086	0.0000	-33.706056811	
1.3281	0.0000	-33.822685650	
1.3477	0.0000	-33.879441435	
1.3672	0.0000	-33.876324166	
1.3867	0.0000	-33.951891054	
1.4062	0.0000	-34.018858581	
1.4258	0.0000	-34.221319795	
1.4453	0.0000	-34.066853766	
1.4648	0.0000	-34.143011860	
1.4844	0.0000	-34.436787543	
1.5039	0.0000	-34.448504173	
1.5234	0.0000	-34.371969857	
1.5430	0.0000	-34.581633036	
1.5625	0.0000	-34.685094103	
1.5820	0.0000	-34.563198155	
1.6016	0.0000	-34.855576442	
1.6211	0.0000	-34.911687275	
1.6406	0.0000	-34.915718225	
1.6602	0.0000	-34.719706532	
1.6797	0.0000	-30.872997209	
1.6992	0.0000	-29.768677971	
1.7188	0.0000	-35.629733949	
1.7383	0.0000	-36.871804206	
1.7578	0.0000	-35.595712725	
1.7773	0.0000	-35.881641491	
1.7969	0.0000	-36.667891850	
1.8164	0.0000	-37.039814229	
1.8359	0.0000	-36.929043705	
1.8555	0.0000	-36.911737490	
1.8750	0.0000	-36.606943876	
1.8945	0.0000	-36.691540093	
1.9141	0.0000	-37.234267288	
1.9336	0.0000	-32.798179235	
1.9531	0.0000	-29.364776717	
1.9727	0.0000	-35.259692680	
1.9922	0.0000	-37.841650930	
2.0117	0.0000	-37.992945944	
2.0312	0.0000	-38.232545650	
2.0508	0.0000	-38.068244102	
2.0703	0.0000	-38.408456336	
2.0898	0.0000	-38.755171837	
2.1094	0.0000	-39.073240716	
2.1289	0.0000	-38.792256583	
2.1484	0.0000	-38.722440518	
2.1680	0.0000	-38.628170019	
2.1875	0.0000	-38.884860956	
2.2070	0.0000	-38.953655847	
2.2266	0.0000	-39.006595665	
2.2461	0.0000	-39.132737547	
2.2656	0.0000	-39.210884244	
2.2852	0.0000	-39.127040470	
2.3047	0.0000	-39.316495150	
2.3242	0.0000	-39.488321140	
2.3438	0.0000	-39.619730131	
2.3633	0.0000	-39.718784024	
2.3828	0.0000	-39.748129345	
2.4023	0.0000	-39.675196011	
2.4219	0.0000	-39.567435264	
2.4414	0.0000	-38.561793698	
2.4609	0.0000	-39.473917209	
2.4805	0.0000	-40.038680267	
2.5000	0.0000	-40.002831679	
2.5195	0.0000	-40.186374299	
2.5391	0.0000	-40.588824411	
2.5586	0.0000	-41.303323848	
2.5781	0.0000	-40.697445094	
2.5977	0.0000	-40.314558529	
2.6172	0.0000	-40.274947721	
2.6367	0.0000	-40.325361477	
2.6562	0.0000	-40.159770024	
2.6758	0.0000	-40.111291125	
2.6953	0.0000	-40.191856391	
2.7148	0.0000	-40.510838952	
2.7344	0.0000	-40.777902869	
2.7539	0.0000	-40.812622790	
2.7734	0.0000	-40.750384912	
2.7930	0.0000	-40.895660373	
2.8125	0.0000	-40.907430749	
2.8320	0.0000	-40.761779066	
2.8516	0.0000	-40.321223034	
2.8711	0.0000	-39.305584711	
2.8906	0.0000	-33.346764744	
2.9102	0.0000	-24.858765107	
2.9297	0.0000	-19.128419423	
2.9492	0.0000	-11.681211242	
2.9688	0.0000	-4.370732906	
2.9883	0.0000	1.491505483	
3.0078	0.0000	6.794355415	
3.0273	0.0000	12.403235121	
3.0469	0.0000	17.761174712	
3.0664	0.0000	23.604870728	
3.0859	0.0000	27.880688184	
3.1055	0.0000	30.840265890	
3.1250	0.0000	35.917597570	
3.1445	0.0000	40.634186042	
3.1641	0.0000	45.189482741	
3.1836	0.0000	49.447026554	
3.2031	0.0000	52.451374685	
3.2227	0.0000	56.502802555	
3.2422	0.0000	60.676341356	
3.2617	0.0000	63.365845369	
3.2812	0.0000	65.420877752	
3.3008	0.0000	67.997568893	
3.3203	0.0000	70.849869566	
3.3398	0.0000	74.619238383	
3.3594	0.0000	77.947836184	
3.3789	0.0000	80.756172622	
3.3984	0.0000	83.169260913	
3.4180	0.0000	85.240847067	
3.4375	0.0000	86.870533537	
3.4570	0.0000	88.519299841	
3.4766	0.0000	90.058693018	
3.4961	0.0000	91.630065070	
3.5156	0.0000	92.819732969	
3.5352	0.0000	93.692675639	
3.5547	0.0000	94.347893229	
3.5742	0.0000	94.669455599	
3.5938	0.0000	95.053255845	
3.6133	0.0000	94.949902271	
3.6328	0.0000	94.944742654	
3.6523	0.0000	94.765660954	
3.6719	0.0000	94.161663310	
3.6914	0.0000	93.216862226	
3.7109	0.0000	92.131300345	
3.7305	0.0000	91.255562882	
3.7500	0.0000	90.250190046	
3.7695	0.0000	88.724717086	
3.7891	0.0000	87.132276599	
3.8086	0.0000	86.016563208	
3.8281	0.0000	84.475772635	
3.8477	0.0000	82.648784567	
3.8672	0.0000	80.637716419	
3.8867	0.0000	78.453854854	
3.9063	0.0000	75.812292281	
3.9258	0.0000	72.856208065	
3.9453	0.0000	69.069264303	
3.9648	0.0000	65.839666650	
3.9844	0.0000	63.136403659	
4.0039	0.0000	60.063368129	
4.0234	0.0000	56.555473643	
4.0430	0.0000	52.403379500	
4.0625	0.0000	48.233387935	
4.0820	0.0000	44.416561393	
4.1016	0.0000	39.375024554	
4.1211	0.0000	33.636831952	
4.1406	0.0000	28.633293541	
4.1602	0.0000	23.393971391	
4.1797	0.0000	18.293528926	
4.1992	0.0000	13.068718198	
4.2187	0.0000	6.618498476	
4.2383	0.0000	-0.288078606	
4.2578	0.0000	-7.480799437	
4.2773	0.0000	-14.139553672	
4.2969	0.0000	-21.472121617	
4.3164	0.0000	-27.735520214	
4.3359	0.0000	-33.537724312	
4.3555	0.0000	-37.773017277	
4.3750	0.0000	-40.300047107	
4.3945	0.0000	-42.119994448	
4.4141	0.0000	-43.861795092	
4.4336	0.0000	-44.481056603	
4.4531	0.0000	-45.007713741	
4.4727	0.0000	-45.100049383	
4.4922	0.0000	-45.211303621	
4.5117	0.0000	-45.248280875	
